"Title:","All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/1939 - 10/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-10). Current Employment Statistics: All Employees | Construction | Information | N/A Construction | 236 Construction of buildings | 237 Heavy and civil engineering construction | 2373 Highway, street, and bridge construction | 511 Publishing industries, except Internet | 5112 Software publishers | 512 Motion picture and sound recording industries | 515 Broadcasting, except Internet | 518 Data processing, hosting and related services | Non-Seasonally Adjusted, 01/1939 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-001 doi:https://doi.org/10.6068/DP184A0C1638753"
"ColumnCount:",10
"RowCount:",1006

"Time","Construction, N/A Construction, Non-Seasonally Adjusted, (000)","Construction, 236 Construction of buildings, Non-Seasonally Adjusted, (000)","Construction, 237 Heavy and civil engineering construction, Non-Seasonally Adjusted, (000)","Construction, 2373 Highway, street, and bridge construction, Non-Seasonally Adjusted, (000)","Information, 511 Publishing industries, except Internet, Non-Seasonally Adjusted, (000)","Information, 5112 Software publishers, Non-Seasonally Adjusted, (000)","Information, 512 Motion picture and sound recording industries, Non-Seasonally Adjusted, (000)","Information, 515 Broadcasting, except Internet, Non-Seasonally Adjusted, (000)","Information, 518 Data processing, hosting and related services, Non-Seasonally Adjusted, (000)"
"01/1939",981000,,,,,,,,
"02/1939",970000,,,,,,,,
"03/1939",1091000,,,,,,,,
"04/1939",1181000,,,,,,,,
"05/1939",1286000,,,,,,,,
"06/1939",1328000,,,,,,,,
"07/1939",1341000,,,,,,,,
"08/1939",1368000,,,,,,,,
"09/1939",1342000,,,,,,,,
"10/1939",1291000,,,,,,,,
"11/1939",1218000,,,,,,,,
"12/1939",1066000,,,,,,,,
"01/1940",961000,,,,,,,,
"02/1940",986000,,,,,,,,
"03/1940",1072000,,,,,,,,
"04/1940",1203000,,,,,,,,
"05/1940",1319000,,,,,,,,
"06/1940",1358000,,,,,,,,
"07/1940",1401000,,,,,,,,
"08/1940",1430000,,,,,,,,
"09/1940",1529000,,,,,,,,
"10/1940",1610000,,,,,,,,
"11/1940",1667000,,,,,,,,
"12/1940",1689000,,,,,,,,
"01/1941",1666000,,,,,,,,
"02/1941",1627000,,,,,,,,
"03/1941",1592000,,,,,,,,
"04/1941",1698000,,,,,,,,
"05/1941",1800000,,,,,,,,
"06/1941",1866000,,,,,,,,
"07/1941",2020000,,,,,,,,
"08/1941",2079000,,,,,,,,
"09/1941",2100000,,,,,,,,
"10/1941",2033000,,,,,,,,
"11/1941",1943000,,,,,,,,
"12/1941",1797000,,,,,,,,
"01/1942",1738000,,,,,,,,
"02/1942",1712000,,,,,,,,
"03/1942",1897000,,,,,,,,
"04/1942",2104000,,,,,,,,
"05/1942",2287000,,,,,,,,
"06/1942",2469000,,,,,,,,
"07/1942",2631000,,,,,,,,
"08/1942",2643000,,,,,,,,
"09/1942",2596000,,,,,,,,
"10/1942",2435000,,,,,,,,
"11/1942",2275000,,,,,,,,
"12/1942",2019000,,,,,,,,
"01/1943",1896000,,,,,,,,
"02/1943",1842000,,,,,,,,
"03/1943",1825000,,,,,,,,
"04/1943",1802000,,,,,,,,
"05/1943",1755000,,,,,,,,
"06/1943",1730000,,,,,,,,
"07/1943",1641000,,,,,,,,
"08/1943",1584000,,,,,,,,
"09/1943",1511000,,,,,,,,
"10/1943",1402000,,,,,,,,
"11/1943",1331000,,,,,,,,
"12/1943",1205000,,,,,,,,
"01/1944",1172000,,,,,,,,
"02/1944",1126000,,,,,,,,
"03/1944",1119000,,,,,,,,
"04/1944",1133000,,,,,,,,
"05/1944",1167000,,,,,,,,
"06/1944",1206000,,,,,,,,
"07/1944",1211000,,,,,,,,
"08/1944",1215000,,,,,,,,
"09/1944",1183000,,,,,,,,
"10/1944",1150000,,,,,,,,
"11/1944",1114000,,,,,,,,
"12/1944",1025000,,,,,,,,
"01/1945",1006000,,,,,,,,
"02/1945",1015000,,,,,,,,
"03/1945",1058000,,,,,,,,
"04/1945",1109000,,,,,,,,
"05/1945",1149000,,,,,,,,
"06/1945",1204000,,,,,,,,
"07/1945",1245000,,,,,,,,
"08/1945",1290000,,,,,,,,
"09/1945",1290000,,,,,,,,
"10/1945",1309000,,,,,,,,
"11/1945",1325000,,,,,,,,
"12/1945",1274000,,,,,,,,
"01/1946",1280000,,,,,,,,
"02/1946",1312000,,,,,,,,
"03/1946",1437000,,,,,,,,
"04/1946",1583000,,,,,,,,
"05/1946",1679000,,,,,,,,
"06/1946",1766000,,,,,,,,
"07/1946",1868000,,,,,,,,
"08/1946",1954000,,,,,,,,
"09/1946",1990000,,,,,,,,
"10/1946",1976000,,,,,,,,
"11/1946",1954000,,,,,,,,
"12/1946",1892000,,,,,,,,
"01/1947",1769000,,,,,,,,
"02/1947",1747000,,,,,,,,
"03/1947",1794000,,,,,,,,
"04/1947",1908000,,,,,,,,
"05/1947",2004000,,,,,,,,
"06/1947",2154000,,,,,,,,
"07/1947",2199000,,,,,,,,
"08/1947",2264000,,,,,,,,
"09/1947",2263000,,,,,,,,
"10/1947",2236000,,,,,,,,
"11/1947",2172000,,,,,,,,
"12/1947",2101000,,,,,,,,
"01/1948",2000000,,,,,,,,
"02/1948",1862000,,,,,,,,
"03/1948",1949000,,,,,,,,
"04/1948",2090000,,,,,,,,
"05/1948",2230000,,,,,,,,
"06/1948",2366000,,,,,,,,
"07/1948",2426000,,,,,,,,
"08/1948",2463000,,,,,,,,
"09/1948",2449000,,,,,,,,
"10/1948",2413000,,,,,,,,
"11/1948",2367000,,,,,,,,
"12/1948",2278000,,,,,,,,
"01/1949",2093000,,,,,,,,
"02/1949",2002000,,,,,,,,
"03/1949",2024000,,,,,,,,
"04/1949",2114000,,,,,,,,
"05/1949",2217000,,,,,,,,
"06/1949",2287000,,,,,,,,
"07/1949",2359000,,,,,,,,
"08/1949",2423000,,,,,,,,
"09/1949",2423000,,,,,,,,
"10/1949",2388000,,,,,,,,
"11/1949",2328000,,,,,,,,
"12/1949",2169000,,,,,,,,
"01/1950",1997000,,,,,,,,
"02/1950",1932000,,,,,,,,
"03/1950",1986000,,,,,,,,
"04/1950",2158000,,,,,,,,
"05/1950",2330000,,,,,,,,
"06/1950",2503000,,,,,,,,
"07/1950",2623000,,,,,,,,
"08/1950",2723000,,,,,,,,
"09/1950",2721000,,,,,,,,
"10/1950",2727000,,,,,,,,
"11/1950",2665000,,,,,,,,
"12/1950",2495000,,,,,,,,
"01/1951",2372000,,,,,,,,
"02/1951",2317000,,,,,,,,
"03/1951",2411000,,,,,,,,
"04/1951",2563000,,,,,,,,
"05/1951",2697000,,,,,,,,
"06/1951",2793000,,,,,,,,
"07/1951",2867000,,,,,,,,
"08/1951",2929000,,,,,,,,
"09/1951",2890000,,,,,,,,
"10/1951",2888000,,,,,,,,
"11/1951",2760000,,,,,,,,
"12/1951",2643000,,,,,,,,
"01/1952",2439000,,,,,,,,
"02/1952",2436000,,,,,,,,
"03/1952",2429000,,,,,,,,
"04/1952",2559000,,,,,,,,
"05/1952",2674000,,,,,,,,
"06/1952",2827000,,,,,,,,
"07/1952",2893000,,,,,,,,
"08/1952",2964000,,,,,,,,
"09/1952",2947000,,,,,,,,
"10/1952",2883000,,,,,,,,
"11/1952",2805000,,,,,,,,
"12/1952",2655000,,,,,,,,
"01/1953",2457000,,,,,,,,
"02/1953",2436000,,,,,,,,
"03/1953",2463000,,,,,,,,
"04/1953",2581000,,,,,,,,
"05/1953",2677000,,,,,,,,
"06/1953",2779000,,,,,,,,
"07/1953",2847000,,,,,,,,
"08/1953",2909000,,,,,,,,
"09/1953",2914000,,,,,,,,
"10/1953",2898000,,,,,,,,
"11/1953",2797000,,,,,,,,
"12/1953",2643000,,,,,,,,
"01/1954",2362000,,,,,,,,
"02/1954",2370000,,,,,,,,
"03/1954",2426000,,,,,,,,
"04/1954",2572000,,,,,,,,
"05/1954",2682000,,,,,,,,
"06/1954",2798000,,,,,,,,
"07/1954",2871000,,,,,,,,
"08/1954",2929000,,,,,,,,
"09/1954",2908000,,,,,,,,
"10/1954",2869000,,,,,,,,
"11/1954",2815000,,,,,,,,
"12/1954",2654000,,,,,,,,
"01/1955",2465000,,,,,,,,
"02/1955",2420000,,,,,,,,
"03/1955",2541000,,,,,,,,
"04/1955",2734000,,,,,,,,
"05/1955",2917000,,,,,,,,
"06/1955",3060000,,,,,,,,
"07/1955",3155000,,,,,,,,
"08/1955",3196000,,,,,,,,
"09/1955",3180000,,,,,,,,
"10/1955",3102000,,,,,,,,
"11/1955",2989000,,,,,,,,
"12/1955",2811000,,,,,,,,
"01/1956",2619000,,,,,,,,
"02/1956",2609000,,,,,,,,
"03/1956",2684000,,,,,,,,
"04/1956",2886000,,,,,,,,
"05/1956",3095000,,,,,,,,
"06/1956",3359000,,,,,,,,
"07/1956",3352000,,,,,,,,
"08/1956",3447000,,,,,,,,
"09/1956",3402000,,,,,,,,
"10/1956",3326000,,,,,,,,
"11/1956",3195000,,,,,,,,
"12/1956",3009000,,,,,,,,
"01/1957",2677000,,,,,,,,
"02/1957",2664000,,,,,,,,
"03/1957",2739000,,,,,,,,
"04/1957",2894000,,,,,,,,
"05/1957",3059000,,,,,,,,
"06/1957",3203000,,,,,,,,
"07/1957",3254000,,,,,,,,
"08/1957",3286000,,,,,,,,
"09/1957",3250000,,,,,,,,
"10/1957",3192000,,,,,,,,
"11/1957",3036000,,,,,,,,
"12/1957",2834000,,,,,,,,
"01/1958",2601000,,,,,,,,
"02/1958",2375000,,,,,,,,
"03/1958",2500000,,,,,,,,
"04/1958",2664000,,,,,,,,
"05/1958",2842000,,,,,,,,
"06/1958",2969000,,,,,,,,
"07/1958",3059000,,,,,,,,
"08/1958",3146000,,,,,,,,
"09/1958",3157000,,,,,,,,
"10/1958",3153000,,,,,,,,
"11/1958",3076000,,,,,,,,
"12/1958",2802000,,,,,,,,
"01/1959",2659000,,,,,,,,
"02/1959",2544000,,,,,,,,
"03/1959",2651000,,,,,,,,
"04/1959",2926000,,,,,,,,
"05/1959",3115000,,,,,,,,
"06/1959",3283000,,,,,,,,
"07/1959",3351000,,,,,,,,
"08/1959",3414000,,,,,,,,
"09/1959",3336000,,,,,,,,
"10/1959",3256000,,,,,,,,
"11/1959",3121000,,,,,,,,
"12/1959",2939000,,,,,,,,
"01/1960",2671000,,,,,,,,
"02/1960",2606000,,,,,,,,
"03/1960",2516000,,,,,,,,
"04/1960",2844000,,,,,,,,
"05/1960",3050000,,,,,,,,
"06/1960",3191000,,,,,,,,
"07/1960",3281000,,,,,,,,
"08/1960",3312000,,,,,,,,
"09/1960",3246000,,,,,,,,
"10/1960",3200000,,,,,,,,
"11/1960",3033000,,,,,,,,
"12/1960",2724000,,,,,,,,
"01/1961",2547000,,,,,,,,
"02/1961",2426000,,,,,,,,
"03/1961",2546000,,,,,,,,
"04/1961",2726000,,,,,,,,
"05/1961",2895000,,,,,,,,
"06/1961",3107000,,,,,,,,
"07/1961",3174000,,,,,,,,
"08/1961",3251000,,,,,,,,
"09/1961",3208000,,,,,,,,
"10/1961",3180000,,,,,,,,
"11/1961",3036000,,,,,,,,
"12/1961",2797000,,,,,,,,
"01/1962",2522000,,,,,,,,
"02/1962",2510000,,,,,,,,
"03/1962",2575000,,,,,,,,
"04/1962",2866000,,,,,,,,
"05/1962",3058000,,,,,,,,
"06/1962",3163000,,,,,,,,
"07/1962",3324000,,,,,,,,
"08/1962",3380000,,,,,,,,
"09/1962",3319000,,,,,,,,
"10/1962",3274000,,,,,,,,
"11/1962",3130000,,,,,,,,
"12/1962",2844000,,,,,,,,
"01/1963",2650000,,,,,,,,
"02/1963",2533000,,,,,,,,
"03/1963",2615000,,,,,,,,
"04/1963",2898000,,,,,,,,
"05/1963",3097000,,,,,,,,
"06/1963",3268000,,,,,,,,
"07/1963",3390000,,,,,,,,
"08/1963",3454000,,,,,,,,
"09/1963",3386000,,,,,,,,
"10/1963",3334000,,,,,,,,
"11/1963",3173000,,,,,,,,
"12/1963",2922000,,,,,,,,
"01/1964",2628000,,,,,,,,
"02/1964",2682000,,,,,,,,
"03/1964",2766000,,,,,,,,
"04/1964",2967000,,,,,,,,
"05/1964",3159000,,,,,,,,
"06/1964",3357000,,,,,,,,
"07/1964",3459000,,,,,,,,
"08/1964",3516000,,,,,,,,
"09/1964",3431000,,,,,,,,
"10/1964",3414000,,,,,,,,
"11/1964",3309000,,,,,,,,
"12/1964",3086000,,,,,,,,
"01/1965",2875000,,,,,,,,
"02/1965",2789000,,,,,,,,
"03/1965",2893000,,,,,,,,
"04/1965",3057000,,,,,,,,
"05/1965",3296000,,,,,,,,
"06/1965",3487000,,,,,,,,
"07/1965",3546000,,,,,,,,
"08/1965",3645000,,,,,,,,
"09/1965",3566000,,,,,,,,
"10/1965",3535000,,,,,,,,
"11/1965",3441000,,,,,,,,
"12/1965",3275000,,,,,,,,
"01/1966",3037000,,,,,,,,
"02/1966",2920000,,,,,,,,
"03/1966",3088000,,,,,,,,
"04/1966",3260000,,,,,,,,
"05/1966",3376000,,,,,,,,
"06/1966",3617000,,,,,,,,
"07/1966",3710000,,,,,,,,
"08/1966",3723000,,,,,,,,
"09/1966",3604000,,,,,,,,
"10/1966",3526000,,,,,,,,
"11/1966",3384000,,,,,,,,
"12/1966",3202000,,,,,,,,
"01/1967",3001000,,,,,,,,
"02/1967",2917000,,,,,,,,
"03/1967",2971000,,,,,,,,
"04/1967",3151000,,,,,,,,
"05/1967",3268000,,,,,,,,
"06/1967",3444000,,,,,,,,
"07/1967",3582000,,,,,,,,
"08/1967",3626000,,,,,,,,
"09/1967",3548000,,,,,,,,
"10/1967",3497000,,,,,,,,
"11/1967",3415000,,,,,,,,
"12/1967",3245000,,,,,,,,
"01/1968",2886000,,,,,,,,
"02/1968",3010000,,,,,,,,
"03/1968",3083000,,,,,,,,
"04/1968",3280000,,,,,,,,
"05/1968",3387000,,,,,,,,
"06/1968",3531000,,,,,,,,
"07/1968",3650000,,,,,,,,
"08/1968",3718000,,,,,,,,
"09/1968",3688000,,,,,,,,
"10/1968",3681000,,,,,,,,
"11/1968",3566000,,,,,,,,
"12/1968",3441000,,,,,,,,
"01/1969",3206000,,,,,,,,
"02/1969",3188000,,,,,,,,
"03/1969",3281000,,,,,,,,
"04/1969",3470000,,,,,,,,
"05/1969",3625000,,,,,,,,
"06/1969",3829000,,,,,,,,
"07/1969",3917000,,,,,,,,
"08/1969",3945000,,,,,,,,
"09/1969",3905000,,,,,,,,
"10/1969",3872000,,,,,,,,
"11/1969",3781000,,,,,,,,
"12/1969",3630000,,,,,,,,
"01/1970",3279000,,,,,,,,
"02/1970",3306000,,,,,,,,
"03/1970",3402000,,,,,,,,
"04/1970",3549000,,,,,,,,
"05/1970",3621000,,,,,,,,
"06/1970",3803000,,,,,,,,
"07/1970",3888000,,,,,,,,
"08/1970",3940000,,,,,,,,
"09/1970",3847000,,,,,,,,
"10/1970",3836000,,,,,,,,
"11/1970",3758000,,,,,,,,
"12/1970",3613000,,,,,,,,
"01/1971",3296000,,,,,,,,
